source,target,weight,chapter_count,chapters,sample_evidence,relation_definition
刘备,阚泽,1,1,83,"Chapter 83, P083-020: 权大惊，举止失措，阚泽出班奏曰：「见有擎天之柱，如何不用耶？」权急问何人。泽曰：「昔日东吴大事，全任周郎；后鲁子敬代之；子敬亡后，决于吕子明；今子明虽丧．见有陆伯言在荆州。此人名虽儒生，实有雄才大略，以臣论之；不在周郎之下；前破关公，其谋皆出于伯言。主上若能用之，破蜀必矣。如或有失，臣愿与同罪。」权曰：「非德润之言，孤误大事。」张昭曰：「陆逊乃一书生耳，非刘备敌手；恐不可用。」顾雍亦曰：「陆逊年幼望轻，恐诸公不服；若不服则生祸乱，必误大事。」步骘亦曰：「逊才堪治郡耳；若托以大事，非其宜也。」阚泽大呼曰：「若不用陆伯言，则东吴休矣！臣愿以全家保之！」权曰：「孤亦素知陆伯言乃奇才也：孤意已决，卿等勿言。」",same_body_paragraph
刘琦,吕布,1,1,43,"Chapter 43, P043-025: 数巡之后，权曰：「曹操平生所恶者，吕布、刘表、袁绍、袁术、豫州与孤耳。今数雄已灭，独豫州与孤尚存。孤不能以全吴之地，受制于人。吾计决矣。非刘豫州莫与当曹操者。然豫州新败之后，安能抗此难乎？」孔明曰：「豫州虽新败，然关云长犹率精兵万人；刘琦领江夏战士，亦不下万人。曹操之众，远来疲惫；近追豫州，轻骑一日夜行三百里。此所谓「强弩之末，势不能穿鲁缟」者也。且北方之人，不习水战。荆州士民附操者，迫于势耳，非本心也。今将军诚能与豫州协力同心，破曹军必矣。操军破必北还，则荆吴之势强，而鼎足之形成矣。成败之机，在于今日。惟将军裁之。」",same_body_paragraph
刘琦,孙策,1,1,42,"Chapter 42, P042-024: 正说间，人报江东孙权差鲁肃来吊丧，船已傍岸。孔明笑曰：「大事济矣！」遂问刘琦曰：「往日孙策亡时，襄阳曾遣人去吊丧否？」琦曰：「江东与我家有杀父之雠，安得通庆吊之礼？」孔明曰：「然则鲁肃之来，非为吊丧，乃来探听军情也。」遂谓玄德曰：「鲁肃至，若问曹操动静，主公只推不知。再三问时，主公只说可问诸葛亮。」",same_body_paragraph
刘琦,袁绍,1,1,43,"Chapter 43, P043-025: 数巡之后，权曰：「曹操平生所恶者，吕布、刘表、袁绍、袁术、豫州与孤耳。今数雄已灭，独豫州与孤尚存。孤不能以全吴之地，受制于人。吾计决矣。非刘豫州莫与当曹操者。然豫州新败之后，安能抗此难乎？」孔明曰：「豫州虽新败，然关云长犹率精兵万人；刘琦领江夏战士，亦不下万人。曹操之众，远来疲惫；近追豫州，轻骑一日夜行三百里。此所谓「强弩之末，势不能穿鲁缟」者也。且北方之人，不习水战。荆州士民附操者，迫于势耳，非本心也。今将军诚能与豫州协力同心，破曹军必矣。操军破必北还，则荆吴之势强，而鼎足之形成矣。成败之机，在于今日。惟将军裁之。」",same_body_paragraph
刘璋,刘禅,1,1,117,"Chapter 117, P117-032: 邓艾怜其忠，将父子合葬，乘虚攻打绵竹。张遵、黄崇、李球三人，各引一军杀出。蜀兵寡，魏兵众，三人亦皆战死，艾因此得了绵竹。劳军已毕，遂来取成都。正是：试观后主临危日，无异刘璋受逼时。未知成都如何守御，且看下文分解。",same_body_paragraph
刘璋,司马懿,1,1,67,"Chapter 67, P067-019: 曹操已得东川。主簿司马懿进曰：「刘备以诈力取刘璋、蜀人尚未归心。今主公已得汉中，益州震动。可速进兵攻之，势必瓦解。知者贵于乘时，时不可失也。」曹操叹曰：「人苦不知足，既得陇，复望蜀耶﹖」刘晔曰：「司马仲达之言是也。若少迟缓，诸葛亮明于治国而为相，关张等勇冠三军而为将，蜀民既定，据守关隘，不可犯矣。」操曰：「士卒远涉劳苦，且宜存恤。」遂按兵不动。",same_body_paragraph
刘璋,吕蒙,1,1,56,"Chapter 56, P056-017: 却说鲁肃回见周瑜，说玄德，孔明欢喜不疑，准备出城劳军。周瑜大笑曰：「原来今番也中了吾计！」便教鲁肃禀报吴侯，并遣程普引兵接应。周瑜此时箭疮已渐平愈，身躯无事，使甘宁为先锋，自与徐盛，丁奉为第二；凌统，吕蒙为后队。水陆大兵五百万，望荆州而来。周瑜在船中，时复欢笑，以为孔明中计。前军至夏口，周瑜问：「荆州有人在前面接否？」人报：「刘皇叔使糜竺来见都督。」瑜唤至，问劳军如何。糜竺曰：「主公皆准备安排下了。」瑜曰：「皇叔何在？」竺曰：「在荆州城门相等，与都督把盏。」瑜曰：「今为汝家之事，出兵远征；劳军之礼，休得轻易。」糜竺领了言语先回。战船密密排在江上，依次而进。看看至公安，并无一双军船，又无一人远接。周瑜催船速行。离荆州十余里，只见江面上静荡荡的。哨探的回报：「荆州城上，插两面白旗，并不见一人之影。」瑜心疑，教把船傍岸，亲自上岸，乘马带了甘宁，徐盛，丁奉一班军官，引亲随精军三千人，迳望荆州来。既至城下，并不见动静。瑜勒住马，令军士叫门。城上问是谁人。吴军答曰：「是东吴周都督亲自此。」言未毕，忽一声梆子响，城上一齐都竖起鎗刀。敌楼上赵云出曰：「都督此行，端的为何？」瑜曰：「吾替汝主取西川，汝岂犹未知耶？」云曰：「孔明军师已知都督『假途灭虢』之计，故留赵云在此。吾主公有言：『孤与刘璋，皆汉室宗亲，安忍背义而取西川？若汝东吴端的取蜀，吾当披发入山，不失信于天下也。』」周瑜闻之，勒马便回。只见一人打著令字旗，于马前报说：「探得四路军马，一齐杀到：关某从江陵杀来，张飞从秭归杀来，黄忠从公安杀来，魏延从彝陵小路杀来：四路正不知多少军马。喊声远近震动百余里，皆言要捉周瑜。」瑜马上大叫一声，箭鎗复裂，墬于马下。正是：一著掑高难对敌，几番算定总成空。不知周瑜性命如何，且看下文解。",same_body_paragraph
刘璋,荀彧,1,1,60,"Chapter 60, P060-012: 操怒气未息。荀彧亦谏，操方免其死，令乱棒打出。松归馆舍，连夜出城，收拾回川。松自思曰：「吾本欲献西川州县与曹操，谁想如此慢人！我来时于刘璋之前，开了大口；今日怏怏空回，须被蜀中人所笑。吾闻荆州刘玄德仁义远播久矣，不如迳由那条路回。试看此人如何，我自有主见。」",same_body_paragraph
刘璋,董卓,1,1,38,"Chapter 38, P038-008: 孔明曰：「自董卓造逆以来，天下豪杰并起。曹操势不及袁绍，而竟能克绍者，非惟天时，抑亦人谋也。今操已拥百万之众，挟天子以令诸侯，此诚不可与争锋。孙权据有江东，已历三世，国险而民附，此可用为援，而不可图也。荆州北据汉沔，利尽南海，东连吴会，西通巴蜀，此用武之地，非其主不能守。是殆天所以资将军，将军岂可弃乎？益州险塞，沃野千里，天府之国，高祖因之以成帝业。今刘璋暗弱，民殷国富，而不知存恤，智能之士，思得明君。将军既帝室之胄，信义著于四海，总揽英雄，思贤如渴，若跨有荆益，保其岩阻，西和诸戎，南抚彝越，外结孙权，内修政理；待天下有变，则命一上将，将荆州之兵，以向宛洛；将军身率益州之众，以出秦川，百姓有不箪食壸浆以迎将军者乎？诚如是，则大业可成，汉室可兴矣。此亮所以为将军谋者也。惟将军图之。」言罢，命童子取出画一轴，挂于中堂，指谓玄德曰：「此西川五十四州之图也。将军欲成霸业，北让曹操占天时，南让孙权占地利，将军可占人和。先取荆州为家，后即取西川建基业，以成鼎足之势，然后可图中原也。」",same_body_paragraph
刘璋,邓艾,1,1,117,"Chapter 117, P117-032: 邓艾怜其忠，将父子合葬，乘虚攻打绵竹。张遵、黄崇、李球三人，各引一军杀出。蜀兵寡，魏兵众，三人亦皆战死，艾因此得了绵竹。劳军已毕，遂来取成都。正是：试观后主临危日，无异刘璋受逼时。未知成都如何守御，且看下文分解。",same_body_paragraph
刘璋,邓芝,1,1,65,"Chapter 65, P065-027: 玄德从之，设一大宴，请刘璋收拾财物，佩领振威将军印绶，将妻子良贱，尽赴南郡公安住歇，即日起行。玄德自领益州牧，其所降文武，尽皆重赏，定拟名爵。严颜为前将军，法正为蜀郡太守，董和为掌军中郎将，许靖为左将军长史，庞义为营中司马，刘巴为左将军，黄权为右将军。其余吴懿，费观，彭羕，卓膺，李严，吴兰，雷同，李恢，张翼，秦宓，谯周，吕义，霍峻，邓芝，杨洪，周群，费袆，费诗，孟达，……文武投降官员，共六十余人，并皆擢用。诸葛亮军师，关云长为荡寇将军汉寿亭侯，张飞为征远将军新亭侯，赵云为镇远将军，黄忠为征西将军，魏延为扬武将军，马超为平西将军。孙干，简雍，糜竺、糜芳，刘封，关平，周仓，廖化，马良，马谡，蒋琬，伊籍，及旧日荆襄一班文武官员，尽皆升赏。遣使赍黄金五百斤，白银一千斤，钱五千万，蜀锦一千疋，赐与云长。其余官将，给赐有差。杀牛宰马，大饷士卒，开仓赈济百姓，军民大悦。",same_body_paragraph
刘璋,顾雍,1,1,65,"Chapter 65, P065-033: 却说东吴，孙权，知玄德并吞西川，将刘璋逐于公安，遂召张昭，顾雍商议曰：「当刘备借我荆州时，说取了西川，便还荆州。今已得巴，蜀四十一州，须用取索汉上诸郡。如其不还，即动干戈。」张昭曰：「吴中方宁，不可动兵。昭有一计，使刘备将荆州双手奉还主公。」正是：西蜀方开新日月，东吴又索旧山川。未知其计如何，且看下文分解。",same_body_paragraph
刘璋,马腾,1,1,59,"Chapter 59, P059-026: 当年闻操破西凉之众，威震天下，乃聚众商议曰：「西凉，马腾遭戮，马超新败，曹操必将侵我汉中。我欲自称汉宁王，督兵拒曹操，诸军以为何如？」阎圃曰：「汉川之民，户口十万余众，财富粮足，四面险固；今马超新败，西凉之民，从子午谷奔入汉中者，不下数万。愚意益州刘璋昏弱，不如先取西川四十一州为本，然后称王末迟。」张鲁大喜，遂与弟张卫商议起兵。早有细作报入川中。",same_body_paragraph
刘禅,司马师,1,1,110,"Chapter 110, P110-018: 却说西蜀细作，哨知此事，报入成都。姜维奏后主曰：「司马师新亡，司马昭初握重权，必不敢擅离洛阳。臣请乘间伐魏，以复中原。」后主从之，遂命姜维兴师伐魏。维到汉中，整顿人马。征西大将军张翼曰：「蜀地浅狭，钱粮浅薄，不宜远征；不如据险守分，恤军爱民：此乃保国之计也。」维曰：「不然。昔丞相未出茅庐，已定三分天下，然其六出祁山以图中原；不幸半途而丧，以致功业未成。今吾既受丞相遗命，当尽忠报国以继其志，虽死而无恨也。今魏有隙可乘，不就此时伐之，更待何时？」夏侯霸曰：「将军之言是也。可将轻骑先出枹罕。若得洮西、南安，则诸郡可定。」张翼曰：「向者不克而还，皆因军出甚迟也。兵法云：『攻其无备，出其不意。』今若火速进兵，使魏人不能提防，必然全胜矣。」",same_body_paragraph
刘禅,张辽,1,1,85,"Chapter 85, P085-022: 丕大喜，随即密遣能言官四员为使前去；又命曹真为大都督，领兵十万，迳取阳平关。此时张辽等一班旧将，皆封列侯，俱在冀、徐、青及合淝等处，据守关津隘口，故不复调用。却说蜀汉后主刘禅，自即位以来，旧臣多有病亡者，不能细说。凡一应朝廷、选法、钱粮、词讼等事，皆听诸葛丞相裁处。时后主未立皇后。孔明与群臣上言曰：「故车骑将军张飞之女甚贤，年十七岁，可纳为正宫皇后。」后主即纳之。",same_body_paragraph
刘禅,曹叡,1,1,97,"Chapter 97, P097-001: 却说蜀汉建兴六年秋九月，,魏都督曹休被东吴陆逊大破于石亭，车仗马匹，军资器械，并皆罄尽。休惶恐之甚，气忧成病，到洛阳，疸发背而死，魏主曹叡敕令厚葬。司马懿引兵还。众将接入问曰：「曹都督兵败，即元帅之干系，何故急回耶？」懿曰：「吾料诸葛亮知吾兵败，必乘虚来取长安。倘陇西紧急，何人救之？吾故回耳。」众皆以为惧怯，晒笑而退。却说东吴遣使致书蜀中，请兵伐魏，并言大破曹休之事；一者显自己威风，二者通和会之好。后主大喜，令人持书至汉中，报知孔明。时孔明兵强马壮，粮草丰足，所用之物，一切完备，正要出师；听知此信，即设宴大会诸将，计议出师。忽一阵大风，自东北角上而起，把庭前松树吹折，众皆大惊。孔明就占一课，曰：「此风主损一大将！」诸将未信。正饮酒间，忽报镇南将军赵云长子赵统、次子赵广来见。孔明大惊，掷杯于地曰：「子龙休矣！」二子入见，拜哭曰：「某父昨夜三更病重而死。」孔明跌足而哭曰：「子龙身故，国家损一栋梁，去吾一臂也！」众将无不挥泪。孔明令二子入成都面君报丧。后主闻云死，放声大哭曰：「朕昔年幼，非子龙则死于乱军之中矣！」即下诏追赠大将军，谥顺平侯，敕葬于成都锦屏山之东；建立庙堂，四时享祭。后人有诗曰：",same_body_paragraph
刘禅,法正,1,1,73,"Chapter 73, P073-005: 玄德再三推迟不过，只得依允。建安二十四年秋七月，筑坛于沔阳，方圆九里，分布五方，各设旌旗仪仗。群臣皆依次序排列。许靖、法正请玄德登坛，进冠冕玺绶讫，面南而坐，受文武官员拜贺为汉中王。子刘禅立为王世子。封许靖为太傅，法正为尚书令。诸葛亮为军师，总理军国重事。封关羽、张飞、赵云、马超、黄忠为五虎大将军；魏延为汉中太守。其余各拟功勋定爵。",same_body_paragraph
刘禅,贾诩,1,1,86,"Chapter 86, P086-016: 却说吴王见张温入蜀未还，乃聚文武商议。忽近臣奏曰；「蜀遣邓芝同张温入国答礼。」权召入。张温拜于殿前，备称后主、孔明之德，愿求永结盟好，特遣邓尚书又来答礼。权大喜，乃设宴待之。权问邓芝曰：「若吴、蜀二国同心灭魏，得天下太平，二主分治，岂不乐乎？」芝答曰：「『天无二日，民无二王』。如灭魏之后，未识天命所归何人。但为君者，各修其德；为臣者，各尽其忠，则战争方息耳。」权大笑曰：「君之诚款，乃如是耶！」遂厚赠邓芝还蜀。自此吴、蜀通好。却说魏国细作人探知此事，火速报入中原。魏主曹丕听知，大怒曰：「吴、蜀连和，必有图中原之意也。不若朕先伐之。」于是大集文武，商议起兵伐吴。此时大司马曹仁、太尉贾诩已亡。侍中辛毗出班奏曰：「中原之地，土阔民稀，而欲用兵，未见其利。今日之计，莫若养兵屯田十年，足食足兵，然后用之，则吴、蜀方可破也。」丕怒曰：「此迂儒之论也！今吴、蜀连和，早晚必来侵境，何暇等待十年？」即传旨起兵伐吴。司马懿奏曰：「吴有长江之险，非船莫渡。陛下必御驾亲征，可选大小战船，从蔡颍而入淮，取寿春，至广陵，渡江口，迳取南徐：此为上策。」",same_body_paragraph
刘禅,郭淮,1,1,107,"Chapter 107, P107-027: 淮大怒，挺枪骤马，直取夏侯霸。霸挥刀纵马来迎。战不十合，淮败走，霸随后赶来。忽听得后军呐喊，霸急回马时，陈泰引兵杀来。郭淮复回。两路夹攻，霸大败而走，折兵大半；寻思无计，遂投汉中来降后主。",same_body_paragraph
刘禅,黄忠,1,1,73,"Chapter 73, P073-005: 玄德再三推迟不过，只得依允。建安二十四年秋七月，筑坛于沔阳，方圆九里，分布五方，各设旌旗仪仗。群臣皆依次序排列。许靖、法正请玄德登坛，进冠冕玺绶讫，面南而坐，受文武官员拜贺为汉中王。子刘禅立为王世子。封许靖为太傅，法正为尚书令。诸葛亮为军师，总理军国重事。封关羽、张飞、赵云、马超、黄忠为五虎大将军；魏延为汉中太守。其余各拟功勋定爵。",same_body_paragraph
刘表,吉平,1,1,23,"Chapter 23, P023-019: 时值元宵，吉平辞去，承留住，二人共饮。饮至更余，承觉困倦，就和衣而睡。忽报王子服等四人至，承出接入。服曰：「大事谐矣！」承曰：「愿闻其说。」服曰：「刘表结连袁绍，起兵五十万，共分十路杀来。马腾结连韩遂，起西凉军七十二万，从北杀来。曹操尽起许昌兵马，分头迎敌，城中空虚。若聚五家僮仆，可得千余人。乘今夜府中大宴，庆赏元宵，将府围住，突入杀之。不可失此机会！」",same_body_paragraph
刘表,姜维,1,1,120,"Chapter 120, P120-047: 高祖提剑入咸阳，炎炎红日升扶桑。光武龙兴成大统，金乌飞上天中央。哀哉献帝绍海宇，红轮西坠咸池傍！何进无谋中贵乱，凉州董卓居朝堂。王允定计诛逆党，李傕郭泛兴刀枪。四方盗贼如蚁聚，六合奸雄皆鹰扬。孙坚孙策起江左，袁绍袁术兴河梁。刘焉父子据巴蜀，刘表军旅屯荆襄。张修张鲁霸南郑，马腾韩遂守西凉。陶谦张绣公孙瓒，各逞雄才占一方。曹操专权居相府，牢笼英俊用文武。威震天子令诸侯，总领貔貅镇中土。楼桑玄德本皇孙，义结关张愿扶主。东西奔走恨无家，将寡兵微作羁旅。南阳三顾情可深，卧龙一见分寰宇。先取荆州后取川，霸业王图在天府。呜呼三载逝升遐，白帝托孤堪痛楚！孔明六出祁山前，愿以只手将天补。何期历数到此终，长星半夜落山坞！姜维独凭气力高，九伐中原空劬劳。钟会邓艾分兵进，汉室江山尽属曹。丕、叡、芳、髦才及奂，司马又将天下交。受禅台前云雾起，石头城下无波涛。陈留归命与安乐，王侯公爵从根苗。纷纷世事无穷尽，天数茫茫不可逃。鼎足三分已成梦，后人凭吊空牢骚。",same_body_paragraph
刘表,孟达,1,1,62,"Chapter 62, P062-030: 却说玄德令黄忠，魏延各守一寨，自回涪城，与军师庞统商议。细作报说：「东吴孙权遣人结好东川张鲁，将欲来攻葭萌关。」玄德惊曰：「若葭萌关有失，截断后路，吾进退不得，当如之何？」庞统谓孟达曰：「公乃蜀中人，多知地理，去守葭萌关，如何？」达曰：「某保一人与某同去守关，万无一失。」玄德问何人。达曰：「此人曾在荆州刘表部下为中郎将，乃南郡枝江人。姓霍，名峻，字仲邈。」玄德大喜，即时遣孟达，霍峻守葭萌关去了。",same_body_paragraph
刘表,庞统,1,1,62,"Chapter 62, P062-030: 却说玄德令黄忠，魏延各守一寨，自回涪城，与军师庞统商议。细作报说：「东吴孙权遣人结好东川张鲁，将欲来攻葭萌关。」玄德惊曰：「若葭萌关有失，截断后路，吾进退不得，当如之何？」庞统谓孟达曰：「公乃蜀中人，多知地理，去守葭萌关，如何？」达曰：「某保一人与某同去守关，万无一失。」玄德问何人。达曰：「此人曾在荆州刘表部下为中郎将，乃南郡枝江人。姓霍，名峻，字仲邈。」玄德大喜，即时遣孟达，霍峻守葭萌关去了。",same_body_paragraph
刘表,张辽,1,1,33,"Chapter 33, P033-033: 时操在易州，按兵不动。夏侯惇、张辽入禀曰：「如不下辽东，可回许都；恐刘表生心。」操曰：「待二袁首级至，即便回兵。」众皆暗笑。忽报辽东公孙康遣人送袁熙、袁尚首级至，众皆大惊。使者呈上书信。操大笑曰：「果不出奉孝之料！」重赏来使，封公孙康为襄平侯左将军。众官问曰；「何为不出奉孝之所料？」操遂出郭嘉书以示之。书略曰：",same_body_paragraph
刘表,曹丕,1,1,34,"Chapter 34, P034-002: 于是留曹植与曹丕在邺郡造台，使张燕守北寨。操将所得袁绍之兵，共五六十万，班师回许都，大封功臣；又表赠郭嘉为贞侯，养其子奕于府中。复聚众谋士商议，欲南征刘表。荀彧曰：「大军方北征而回，未可复动。且待半年，养精蓄锐，刘表、孙权，可一鼓而下也。」操从之，遂分兵屯田，以候调用。",same_body_paragraph
刘表,曹真,1,1,93,"Chapter 93, P093-010: 三军鼓角己罢，司徒王朗乘马而出。上首乃都督曹真，下首乃副都督郭淮：两个先锋压住阵角。探子马出军前，大叫曰：「请对阵主将答话！」只见蜀兵门旗开处，关兴、张苞，分左右而出，立马于两边；次后一队队骁将分列；门旗影下，中央一辆四轮车，孔明端坐车中，纶巾羽扇，素衣皂（左糸右条），飘然而出。孔明举目见魏阵前三个麾盖，旗上大书姓名，中央白髯老者，乃军师司徒王朗。孔明暗忖曰：「王朗必不说词，吾当随机应之。」遂教推车出阵外，令护军小校传曰：「汉丞相与司徒会话。」王朗纵马而出。孔明于车上拱手，王朗在马上欠身答礼。朗曰：「久闻公之大名，今幸一会。公既知天命、识时务，何故兴无名之师？」孔明曰：「吾奉诏讨贼，何谓无名？」朗曰：「天数有变，神器更易，而归有德之人，此自然之理也。曩自桓、灵以来，黄巾倡乱，天下争横。降至初平、建安之岁，董卓造逆，傕、汜继虐；袁术僭号于寿春，袁绍称雄于邺上；刘表占据荆州，吕布虎吞徐郡：盗贼蜂起，奸雄鹰扬，社稷有累卵之危，生灵有倒悬之急。我太祖武皇帝，扫清六合，席卷八荒；万姓倾心，四方迎德：非以权势取之，实天命所归也。世祖文帝，神圣文武，以膺大统，应天合人，法尧禅舜，处中国以治万邦，岂非天心人意乎？今公蕴大才，报大器，欲自比于管乐，何乃强欲逆天理，背人情而行事耶？岂不闻古人云：『顺天者昌，逆天者亡。」今我大魏带甲百万，良将千员。谅腐草之萤光，怎及天心之皓月？公可倒戈卸甲，以礼来降，不失封侯之位。国安民乐，岂不美哉！」孔明在车上大笑曰：「吾以为汉朝大老元臣，必有高论，岂期出此鄙言！吾有一言，诸军静听：昔桓、灵之世，汉统陵替，宦官酿祸；国乱岁凶，四方扰攘。黄巾之后，董卓、傕、汜等接踵而起，迁劫汉帝，残暴生灵。因庙堂之上，朽木为官；殿陛之间，禽兽食禄。狼心狗行之辈，滚滚当朝；奴颜婢膝之徒，纷纷秉政。以致社稷邱墟，苍生涂炭。吾素知汝所行！世居东海之滨，初举孝廉入仕。理合匡君辅国，安汉兴刘；何期反助逆贼，同谋篡位！罪恶深重，天地不容！天下之人，愿食汝肉！」「今幸天意不绝炎汉，昭烈皇帝继统西川。吾今奉嗣君之旨，兴师讨贼。汝既为谄谀之臣，只可潜身缩首，苟图衣食；安敢在行伍之前，妄称天数耶！皓首匹夫！苍髯老贼！汝即日将归于九泉之下，何面目见二十四帝乎！老贼速退！可叫反臣与吾共决胜负！」王朗听罢，气满胸膛，大叫一声，撞死于马下。后人有诗赞孔明曰：",same_body_paragraph
刘表,王允,1,1,120,"Chapter 120, P120-047: 高祖提剑入咸阳，炎炎红日升扶桑。光武龙兴成大统，金乌飞上天中央。哀哉献帝绍海宇，红轮西坠咸池傍！何进无谋中贵乱，凉州董卓居朝堂。王允定计诛逆党，李傕郭泛兴刀枪。四方盗贼如蚁聚，六合奸雄皆鹰扬。孙坚孙策起江左，袁绍袁术兴河梁。刘焉父子据巴蜀，刘表军旅屯荆襄。张修张鲁霸南郑，马腾韩遂守西凉。陶谦张绣公孙瓒，各逞雄才占一方。曹操专权居相府，牢笼英俊用文武。威震天子令诸侯，总领貔貅镇中土。楼桑玄德本皇孙，义结关张愿扶主。东西奔走恨无家，将寡兵微作羁旅。南阳三顾情可深，卧龙一见分寰宇。先取荆州后取川，霸业王图在天府。呜呼三载逝升遐，白帝托孤堪痛楚！孔明六出祁山前，愿以只手将天补。何期历数到此终，长星半夜落山坞！姜维独凭气力高，九伐中原空劬劳。钟会邓艾分兵进，汉室江山尽属曹。丕、叡、芳、髦才及奂，司马又将天下交。受禅台前云雾起，石头城下无波涛。陈留归命与安乐，王侯公爵从根苗。纷纷世事无穷尽，天数茫茫不可逃。鼎足三分已成梦，后人凭吊空牢骚。",same_body_paragraph
刘表,许褚,1,1,17,"Chapter 17, P017-025: 却说张绣知操引兵来，急发书报刘表，使为后应；一面与雷叙、张先二将领兵出城迎敌。两阵对圆，张绣出马，指操骂曰：「汝乃假仁义无廉耻之人，与禽兽何异！」操大怒，令许褚出马，绣令张先接战。只三合，许褚斩张先于马下，绣军大败。操引军赶至南阳城下。绣入城，闭门不出。",same_body_paragraph
刘表,邓艾,1,1,120,"Chapter 120, P120-047: 高祖提剑入咸阳，炎炎红日升扶桑。光武龙兴成大统，金乌飞上天中央。哀哉献帝绍海宇，红轮西坠咸池傍！何进无谋中贵乱，凉州董卓居朝堂。王允定计诛逆党，李傕郭泛兴刀枪。四方盗贼如蚁聚，六合奸雄皆鹰扬。孙坚孙策起江左，袁绍袁术兴河梁。刘焉父子据巴蜀，刘表军旅屯荆襄。张修张鲁霸南郑，马腾韩遂守西凉。陶谦张绣公孙瓒，各逞雄才占一方。曹操专权居相府，牢笼英俊用文武。威震天子令诸侯，总领貔貅镇中土。楼桑玄德本皇孙，义结关张愿扶主。东西奔走恨无家，将寡兵微作羁旅。南阳三顾情可深，卧龙一见分寰宇。先取荆州后取川，霸业王图在天府。呜呼三载逝升遐，白帝托孤堪痛楚！孔明六出祁山前，愿以只手将天补。何期历数到此终，长星半夜落山坞！姜维独凭气力高，九伐中原空劬劳。钟会邓艾分兵进，汉室江山尽属曹。丕、叡、芳、髦才及奂，司马又将天下交。受禅台前云雾起，石头城下无波涛。陈留归命与安乐，王侯公爵从根苗。纷纷世事无穷尽，天数茫茫不可逃。鼎足三分已成梦，后人凭吊空牢骚。",same_body_paragraph
刘表,郭淮,1,1,93,"Chapter 93, P093-010: 三军鼓角己罢，司徒王朗乘马而出。上首乃都督曹真，下首乃副都督郭淮：两个先锋压住阵角。探子马出军前，大叫曰：「请对阵主将答话！」只见蜀兵门旗开处，关兴、张苞，分左右而出，立马于两边；次后一队队骁将分列；门旗影下，中央一辆四轮车，孔明端坐车中，纶巾羽扇，素衣皂（左糸右条），飘然而出。孔明举目见魏阵前三个麾盖，旗上大书姓名，中央白髯老者，乃军师司徒王朗。孔明暗忖曰：「王朗必不说词，吾当随机应之。」遂教推车出阵外，令护军小校传曰：「汉丞相与司徒会话。」王朗纵马而出。孔明于车上拱手，王朗在马上欠身答礼。朗曰：「久闻公之大名，今幸一会。公既知天命、识时务，何故兴无名之师？」孔明曰：「吾奉诏讨贼，何谓无名？」朗曰：「天数有变，神器更易，而归有德之人，此自然之理也。曩自桓、灵以来，黄巾倡乱，天下争横。降至初平、建安之岁，董卓造逆，傕、汜继虐；袁术僭号于寿春，袁绍称雄于邺上；刘表占据荆州，吕布虎吞徐郡：盗贼蜂起，奸雄鹰扬，社稷有累卵之危，生灵有倒悬之急。我太祖武皇帝，扫清六合，席卷八荒；万姓倾心，四方迎德：非以权势取之，实天命所归也。世祖文帝，神圣文武，以膺大统，应天合人，法尧禅舜，处中国以治万邦，岂非天心人意乎？今公蕴大才，报大器，欲自比于管乐，何乃强欲逆天理，背人情而行事耶？岂不闻古人云：『顺天者昌，逆天者亡。」今我大魏带甲百万，良将千员。谅腐草之萤光，怎及天心之皓月？公可倒戈卸甲，以礼来降，不失封侯之位。国安民乐，岂不美哉！」孔明在车上大笑曰：「吾以为汉朝大老元臣，必有高论，岂期出此鄙言！吾有一言，诸军静听：昔桓、灵之世，汉统陵替，宦官酿祸；国乱岁凶，四方扰攘。黄巾之后，董卓、傕、汜等接踵而起，迁劫汉帝，残暴生灵。因庙堂之上，朽木为官；殿陛之间，禽兽食禄。狼心狗行之辈，滚滚当朝；奴颜婢膝之徒，纷纷秉政。以致社稷邱墟，苍生涂炭。吾素知汝所行！世居东海之滨，初举孝廉入仕。理合匡君辅国，安汉兴刘；何期反助逆贼，同谋篡位！罪恶深重，天地不容！天下之人，愿食汝肉！」「今幸天意不绝炎汉，昭烈皇帝继统西川。吾今奉嗣君之旨，兴师讨贼。汝既为谄谀之臣，只可潜身缩首，苟图衣食；安敢在行伍之前，妄称天数耶！皓首匹夫！苍髯老贼！汝即日将归于九泉之下，何面目见二十四帝乎！老贼速退！可叫反臣与吾共决胜负！」王朗听罢，气满胸膛，大叫一声，撞死于马下。后人有诗赞孔明曰：",same_body_paragraph
